#param, sd.noise, populationlevel.r2, mean.r2.resampling, sd.r2.resampling, bs.r2, bs.sd, bs.lower, bs.upper
0.6 , 0.05 , 0.3457184 , 0.08773279 , 0.03457214 , 0.0976406 , 0.04221516 , 0.03266918 , 0.193907 

0.7 , 0.05 , 0.3448735 , 0.04251836 , 0.02866296 , 0.0404746 , 0.02468503 , 0.003783983 , 0.09886953 
0.7 , 0.05 , 0.345405 , 0.04892723 , 0.03311269 , 0.05406999 , 0.02708723 , 0.01123267 , 0.1118138 
0.7 , 0.05 , 0.3443245 , 0.04577944 , 0.02801933 , 0.0344977 , 0.02015586 , 0.005484539 , 0.08121443 
0.7 , 0.05 , 0.3453291 , 0.04532773 , 0.02389775 , 0.01471786 , 0.01572113 , 3.983278e-05 , 0.05582302 
0.7 , 0.05 , 0.3445946 , 0.04549727 , 0.02710054 , 0.05211525 , 0.02698926 , 0.009078726 , 0.1116759 
0.7 , 0.05 , 0.3463749 , 0.04437707 , 0.02818683 , 0.01061886 , 0.01235786 , 1.728981e-05 , 0.04797021 
0.7 , 0.05 , 0.3454248 , 0.04592644 , 0.02874232 , 0.1011904 , 0.03986095 , 0.03650591 , 0.1867323 
0.7 , 0.05 , 0.3451867 , 0.04827242 , 0.02562595 , 0.05019873 , 0.02794893 , 0.009737435 , 0.1119909 
0.7 , 0.05 , 0.3447699 , 0.0499692 , 0.02706953 , 0.0605824 , 0.03118793 , 0.01169817 , 0.1304227 
0.7 , 0.05 , 0.3457023 , 0.05083932 , 0.02863136 , 0.03988705 , 0.02702384 , 0.00216777 , 0.1079954 

0.8 , 0.05 , 0.3454365 , 0.02458938 , 0.01669687 , 0.02635317 , 0.01763487 , 0.001275182 , 0.0661842 
0.8 , 0.05 , 0.3452663 , 0.02279906 , 0.01746281 , 0.06787275 , 0.03183345 , 0.01948881 , 0.142538 
0.8 , 0.05 , 0.3447934 , 0.02201626 , 0.0174926 , 0.02231038 , 0.01773834 , 0.0002423576 , 0.06759869 
0.8 , 0.05 , 0.3446759 , 0.02149058 , 0.0185819 , 0.06006591 , 0.03341408 , 0.01170774 , 0.1388813 
0.8 , 0.05 , 0.3456212 , 0.02707052 , 0.01944025 , 0.01616535 , 0.01706223 , 4.817351e-05 , 0.0652376 
0.8 , 0.05 , 0.3456011 , 0.02504309 , 0.01857824 , 0.01824196 , 0.01401483 , 0.0002437583 , 0.05332091 
0.8 , 0.05 , 0.3453995 , 0.02179216 , 0.01823402 , 0.04813958 , 0.0277248 , 0.007368367 , 0.1137794 
0.8 , 0.05 , 0.3448705 , 0.0258936 , 0.02182696 , 0.03226374 , 0.02156189 , 0.001818842 , 0.08373609 
0.8 , 0.05 , 0.3449345 , 0.02458343 , 0.01783393 , 0.0578953 , 0.030359 , 0.01025657 , 0.1254042 
0.8 , 0.05 , 0.3454252 , 0.02517741 , 0.01978378 , 0.0228102 , 0.02042905 , 7.569271e-05 , 0.07237446 

0.9 , 0.05 , 0.345487 , 0.009946673 , 0.01193855 , 0.02318863 , 0.01804077 , 0.0002804335 , 0.06736615 
