#param, sd.noise, populationlevel.r2, mean.r2.resampling, sd.r2.resampling, bs.r2, bs.sd, bs.lower, bs.upper 
500 , 0.05 , 0.3454364 , 0.3471462 , 0.02547844 , 0.3204301 , 0.02527394 , 0.2726186 , 0.3683389 
500 , 0.05 , 0.3438788 , 0.3422714 , 0.02853677 , 0.3496613 , 0.02587298 , 0.2994497 , 0.4018187 
500 , 0.05 , 0.3461092 , 0.3446267 , 0.0263952 , 0.3285268 , 0.02467859 , 0.2823728 , 0.3766975 
500 , 0.05 , 0.3447061 , 0.3449146 , 0.02746829 , 0.363066 , 0.02598513 , 0.3139891 , 0.4140514 
500 , 0.05 , 0.344958 , 0.3469911 , 0.0285742 , 0.3551146 , 0.0296917 , 0.3014179 , 0.4145323 

750 , 0.05 , 0.3450376 , 0.3452914 , 0.01921774 , 0.3408266 , 0.02123273 , 0.3014616 , 0.3826196 
750 , 0.05 , 0.3444259 , 0.3456978 , 0.02082413 , 0.3649562 , 0.02156799 , 0.3221077 , 0.4077795 
750 , 0.05 , 0.3448084 , 0.3434379 , 0.02078199 , 0.3646078 , 0.02161031 , 0.324612 , 0.4095214 
750 , 0.05 , 0.3460559 , 0.3513019 , 0.02355771 , 0.3232364 , 0.02150472 , 0.2819882 , 0.3669093 
750 , 0.05 , 0.3448586 , 0.3455534 , 0.02307458 , 0.3054483 , 0.02096585 , 0.2650886 , 0.3474302 
750 , 0.05 , 0.3454252 , 0.3428913 , 0.02122531 , 0.3478045 , 0.02137879 , 0.305695 , 0.3894101 
750 , 0.05 , 0.3453643 , 0.3477554 , 0.02228761 , 0.3016965 , 0.02096852 , 0.2638527 , 0.3459866 
750 , 0.05 , 0.3455349 , 0.3469983 , 0.02320942 , 0.3184287 , 0.02071224 , 0.2797238 , 0.3615933 
750 , 0.05 , 0.345379 , 0.3433912 , 0.02150833 , 0.3553346 , 0.02122361 , 0.3146811 , 0.3960068 
750 , 0.05 , 0.3456054 , 0.3446774 , 0.02198329 , 0.3404473 , 0.02121824 , 0.2993568 , 0.3825687 

1000 , 0.05 , 0.344045 , 0.3410377 , 0.01858129 , 0.3491561 , 0.01851829 , 0.3139348 , 0.384443 
1000 , 0.05 , 0.3462883 , 0.3456195 , 0.01675365 , 0.3324101 , 0.02012896 , 0.2956683 , 0.372174 
1000 , 0.05 , 0.3458733 , 0.3455868 , 0.01633345 , 0.3360088 , 0.01809189 , 0.2992905 , 0.3728042 
1000 , 0.05 , 0.3447146 , 0.3479824 , 0.01878406 , 0.3502032 , 0.0187337 , 0.3139092 , 0.3886688 
1000 , 0.05 , 0.3452435 , 0.347993 , 0.01713869 , 0.3360986 , 0.01855148 , 0.3016404 , 0.3735143 
1000 , 0.05 , 0.3443584 , 0.3461993 , 0.01792501 , 0.3526568 , 0.01881427 , 0.3143616 , 0.3908215 
