#param, sd.noise, mean.vp.estimate, sd.vp.estimate, relative.uncertainty, bias 
0.4 , 0.1 , 5.280578 , 2.844998 , 53.87665 , 1.019397 
0.4 , 0.1 , 5.148603 , 3.647571 , 70.84584 , 0.9401575 
0.4 , 0.1 , 4.901174 , 3.607681 , 73.60851 , 0.6457676 
0.4 , 0.1 , 4.556837 , 3.088225 , 67.77123 , 0.259553 
0.4 , 0.1 , 4.975711 , 3.512716 , 70.59727 , 0.7531202 
0.4 , 0.1 , 4.734602 , 3.496658 , 73.85326 , 0.5009631 
0.4 , 0.1 , 4.7557 , 3.042747 , 63.98105 , 0.5096266 
0.4 , 0.1 , 4.169013 , 2.910485 , 69.81232 , -0.0217705 
0.4 , 0.1 , 4.87793 , 3.805523 , 78.01511 , 0.6166793 
0.4 , 0.1 , 4.748387 , 3.073152 , 64.7199 , 0.5222945 
0.5 , 0.1 , 7.058246 , 4.254574 , 60.27807 , 0.4556498 
0.5 , 0.1 , 6.946385 , 4.188764 , 60.30134 , 0.3811881 
0.5 , 0.1 , 6.847226 , 3.306168 , 48.28477 , 0.3005115 
0.5 , 0.1 , 6.12509 , 3.906071 , 63.77164 , -0.4479817 
0.5 , 0.1 , 7.71673 , 3.941094 , 51.07208 , 1.170549 
0.5 , 0.1 , 6.563085 , 3.429066 , 52.24777 , -0.07145003 
0.5 , 0.1 , 6.919333 , 4.018711 , 58.07946 , 0.3112593 
0.5 , 0.1 , 7.066103 , 3.842931 , 54.38543 , 0.3738124 
0.5 , 0.1 , 7.600353 , 4.072855 , 53.58771 , 1.021469 
0.5 , 0.1 , 7.187043 , 4.022204 , 55.96466 , 0.5925128 
0.6 , 0.1 , 9.836209 , 4.804338 , 48.84339 , 0.450779 
0.6 , 0.1 , 9.771328 , 4.813186 , 49.25827 , 0.4380912 
0.6 , 0.1 , 10.31389 , 4.497419 , 43.60547 , 0.9622929 
0.6 , 0.1 , 9.253607 , 4.768624 , 51.5326 , -0.1344062 
0.6 , 0.1 , 10.24805 , 4.662647 , 45.49789 , 0.847795 
